"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik[6,75]",-0.081191407229315,0.00243344964728875,0.066466685145839,-0.225842581441424,-0.108959837702925,-0.0635058798409167,-0.0343013311000786,-0.0233274802181475,746.042057949888,1.00351911436942
"log_lik[6,76]",-0.0569058216666163,0.0017108682856039,0.0469498292037096,-0.171817696495133,-0.0845619505572591,-0.0431263186368471,-0.0181455025198605,-0.00930106800668833,753.06919320392,1.00540587914795
"log_lik[6,77]",-0.112652493761174,0.00267276572040127,0.0783398431197065,-0.304249607115903,-0.137783716696263,-0.0930386455079395,-0.0610404210442964,-0.0484341655996204,859.099783902025,1.00213112674478
"log_lik[6,78]",-0.0712775698506373,0.00181666626395165,0.049549371717736,-0.189575491330734,-0.101891151423388,-0.0580907233060589,-0.0295115288530021,-0.0186414619226421,743.919600542533,1.00547259686046
"log_lik[6,79]",-0.0545766965227154,0.00162699600341824,0.0448096793145107,-0.1606426353745,-0.0817249005277889,-0.0424813945763072,-0.0178170218778756,-0.00497655777531092,758.526397768947,1.0053862622921
"log_lik[6,80]",-0.0438316963864552,0.00142990758657846,0.0397348138533135,-0.140130397150845,-0.0667575192067939,-0.0322639809040504,-0.0115586268714102,-0.00226236190713417,772.194003657914,1.00529034845018
"log_lik[6,81]",-0.693147180559945,4.39914679896446e-17,6.23683429013131e-17,-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.693147180559945,2.00997891327394,1.00464061536114
"log_lik[6,82]",-0.825925955581822,0.00198648027790596,0.0733817113612745,-0.970853165260409,-0.873356747811169,-0.827047529960355,-0.77655711631785,-0.685338845771066,1364.60562272626,1.00292476244803
"log_lik[6,83]",-0.659270731425707,0.00254571550332372,0.0802858643902477,-0.708606406332845,-0.705191521598694,-0.691163414942783,-0.648980567453895,-0.423968716516773,994.622868187128,1.00357726823108
"log_lik[6,84]",-0.879211708144624,0.00593538158502048,0.211269585110812,-1.4340200091341,-0.900446769198605,-0.827676478773716,-0.780669127510397,-0.686812265439578,1267.00015798536,1.00184800205778
